PPG GSR SENSOR_TIME COMPUTER_TIME
1734.798535 76347.457627 9825652 1590688754.668544
1717.948718 79026.315789 9825812 1590688754.668544
1701.831502 79026.315789 9825972 1590688754.669546
1684.981685 76347.457627 9826132 1590688754.669546
1666.666667 76347.457627 9826292 1590688754.679519
1649.816850 76347.457627 9826452 1590688754.680516
1631.501832 79026.315789 9826612 1590688754.690483
1612.454212 79026.315789 9826772 1590688754.691480
1594.871795 76347.457627 9826932 1590688754.697466
1578.021978 79026.315789 9827092 1590688754.697466
1559.706960 76347.457627 9827252 1590688754.708525
1542.857143 79026.315789 9827412 1590688754.708525
1526.739927 79026.315789 9827572 1590688754.717528
1511.355311 79026.315789 9827732 1590688754.717528
1496.703297 79026.315789 9827892 1590688754.727511
1483.516484 76347.457627 9828052 1590688754.727511
1469.597070 79026.315789 9828212 1590688754.738446
1455.677656 76347.457627 9828372 1590688754.738446
1442.490842 79026.315789 9828532 1590688754.750420
1431.501832 79026.315789 9828692 1590688754.750420
1419.780220 76347.457627 9828852 1590688754.754411
1408.791209 79026.315789 9829012 1590688754.755406
1398.534799 79026.315789 9829172 1590688754.781374
1386.813187 79026.315789 9829332 1590688754.781374
1375.091575 79026.315789 9829492 1590688754.782327
1367.032967 79026.315789 9829652 1590688754.782327
1361.172161 79026.315789 9829812 1590688754.793299
1355.311355 76347.457627 9829972 1590688754.794296
1352.380952 79026.315789 9830132 1590688754.819228
1352.380952 79026.315789 9830292 1590688754.820223
1353.113553 79026.315789 9830452 1590688754.821219
1355.311355 76347.457627 9830612 1590688754.821219
1358.974359 79026.315789 9830772 1590688754.848150
1363.369963 76347.457627 9830932 1590688754.849148
1368.498168 76347.457627 9831092 1590688754.850145
1373.626374 79026.315789 9831252 1590688754.850145
1378.754579 76347.457627 9831412 1590688754.861119
1384.615385 79026.315789 9831572 1590688754.861119
1391.208791 79026.315789 9831732 1590688754.862117
1400.000000 79026.315789 9831892 1590688754.862117
1409.523810 76347.457627 9832052 1590688754.863139
1418.315018 79026.315789 9832212 1590688754.864108
1427.838828 76347.457627 9832372 1590688754.865107
1437.362637 79026.315789 9832532 1590688754.865107
1444.688645 79026.315789 9832692 1590688754.882057
1451.282051 76347.457627 9832852 1590688754.883054
1456.410256 79026.315789 9833012 1590688754.883054
1460.805861 79026.315789 9833172 1590688754.884052
1462.271062 79026.315789 9833332 1590688754.897025
1465.934066 79026.315789 9833492 1590688754.898013
1468.864469 76347.457627 9833652 1590688754.908053
1468.864469 79026.315789 9833812 1590688754.909052
1468.864469 76347.457627 9833972 1590688754.916075
1468.864469 76347.457627 9834132 1590688754.916075
1466.666667 76347.457627 9834292 1590688754.931991
1462.271062 76347.457627 9834452 1590688754.933008
1459.340659 79026.315789 9834612 1590688754.938977
1453.479853 79026.315789 9834772 1590688754.938977
1445.421245 76347.457627 9834932 1590688754.949941
1438.827839 76347.457627 9835092 1590688754.949941
1430.036630 79026.315789 9835252 1590688754.960919
1418.315018 76347.457627 9835412 1590688754.960919
1407.326007 79026.315789 9835572 1590688754.971931
1396.336996 79026.315789 9835732 1590688754.972884
1386.080586 76347.457627 9835892 1590688754.983853
1376.556777 79026.315789 9836052 1590688754.983853
1368.498168 79026.315789 9836212 1590688754.994820
1361.172161 79026.315789 9836372 1590688754.994820
1352.380952 76347.457627 9836532 1590688754.999846
1343.589744 76347.457627 9836692 1590688754.999846
